"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss"
108.875,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
107.625,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
107.875,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.125,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.375,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.625,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
108.875,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
109.125,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
102.875,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
103.125,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki"
107.625,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
107.875,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3"
